매장이름,lat,lng,주소,구
중랑역점,37.593212,127.0748661,서울 중랑구 망우로 198 (상봉동),중랑구
중화동점,37.5993838458016,127.079542626772,서울 중랑구 동일로129길 1 (중화동),중랑구
중화역점,37.603129,127.0788891,"서울 중랑구 동일로 815, 1층",중랑구
화랑대역점,37.61954020149987,127.08413727538176,"서울 중랑구 신내로25가길 2 (묵동, 현동학당)",중랑구
봉천역점,37.482667,126.9418247,서울 관악구 남부순환로 1725 (봉천동),관악구
동서울터미널점,37.5340985,127.0922113,서울 광진구 구의동 ,광진구
아차산역점,37.55177,127.0902383,서울 광진구 천호대로 663 (구의동),광진구
독산롯데시네마점,37.4693273,126.8970414,서울 금천구 시흥대로 399 (독산동),금천구
상계역점,37.6598008,127.0756284,서울 노원구 덕릉로 698 (중계동),노원구
월계초교점,37.6269412,127.0503463,서울 노원구 월계동 ,노원구
도봉보건소사거리점,37.6567466,127.0388047,서울 도봉구 해등로 157 (쌍문동),도봉구
방학역점,37.662166,127.0334228,서울 도봉구 도봉로153길 15 (방학동),도봉구
중앙대점,37.5069892,126.9584078,서울 동작구 흑석로 79 (흑석동),동작구
연희삼거리점,37.5682728,126.9318184,서울 서대문구 연희로 117 (연희동),서대문구
동소문동점,37.5920114,127.0128569,서울 성북구 동소문로13길 5 (동소문동4가),성북구
올림픽공원점,37.5162001,127.1098021,서울 송파구 올림픽로 354 (방이동),송파구
영등포구청점,37.5244574,126.8965606,서울 영등포구 당산로 110 (당산동3가),영등포구
영등포시장점,37.5218347,126.9042296,서울 영등포구 영등포로35길 19 (영등포동6가),영등포구
한국은행점,37.5614031,126.9789515,서울 중구 남대문로 29-2 (남대문로3가),중구
남구로역점,37.4846716,126.8870975,서울 구로구 디지털로27길 127 (가리봉동),구로구
